"117cc307-5bd4-4b10-9b2f-2e14051b3b20",,"ExtensionType","ExtensionType",
"f3684e25-dcad-4c1e-a5d8-16cddf1c4f5b",,"RDF_FRAGMENT","RDF fragment","RDF",
"ea109c1c-e69b-4e6d-9079-1941b9ee2991",,"XML_FRAGMENT","XML fragment","XML",
"f079aacc-ab08-4cc4-90a0-6d3958fb0dbf",,"DOI","DOI","DOI",
"46a98bfa-f11a-47fe-a6c5-50c7e8289b3d",,"2nd nomenclatural reference","2nd nomenclatural reference","2nd nom.ref.",
"5e552b24-5a2d-498d-a4f4-ccd8e5bc2bae",,"3rd hybrid parent","3rd hybrid parent","3rd parent",
"cefa478e-604f-4db4-8afc-25e06c28ec69",,"Area of Interest","Area of Interest","interest",
"4a6cbbe9-8d79-4d15-b316-2ff1adeff526",,"Nomenclatural Standard","Nomenclatural Standard","Nom.Stand.",
"5837e34e-b0f5-4736-8083-ff5eaecd8c43",,"Abbreviation","Abbreviation","abbrev.",
"ecb7770d-a295-49ee-a88f-e9e137a7cabb",,"Order","Order Index","order"
"11bbc52f-a085-43d3-9f9b-cbe0d1eb9a91",,"informal category","informal category","informal"
"d769fa9f-51ee-4e11-8152-b5ce72b7f413",,"url","url","url"